** Extracted Parasitic Capacitors ***
C0 I4 0 4.78fF
C1 net@0 0 16.814fF
C2 net@1 0 1.643fF
C3 S1 0 20.325fF
C4 I6 0 5.909fF
C5 I5 0 4.78fF
C6 net@14 0 13.451fF
C7 net@5#6contact@28_metal-1-n-act 0 1.643fF
C8 I7 0 5.909fF
C9 net@18 0 25.138fF
C10 net@19 0 1.643fF
C11 S2 0 10.818fF
C12 I0 0 12.603fF
C13 net@196 0 16.814fF
C14 net@197 0 1.643fF
C15 I2 0 13.799fF
C16 I1 0 12.638fF
C17 net@214 0 13.451fF
C18 net@198#4contact@101_metal-1-n-act 0 1.643fF
C19 I3 0 13.795fF
C20 net@286 0 12.136fF
C21 net@297 0 1.643fF
C22 out 0 7.229fF
C23 net@436 0 1.643fF
C24 S0#0pin@177_polysilicon-1 0 12.022fF
C25 S0 0 8.082fF
C26 S1#6pin@2_polysilicon-1 0 0.149fF
C27 S1#8pin@5_polysilicon-1 0 0.13fF
C28 S1#9pin@6_polysilicon-1 0 0.171fF
C29 S1#19pin@11_polysilicon-1 0 0.137fF
C30 S1#20pin@12_polysilicon-1 0 0.177fF
C31 net@1#10pin@13_polysilicon-1 0 0.113fF
C32 net@1#11pin@14_polysilicon-1 0 0.156fF
C33 net@1#5pin@15_polysilicon-1 0 0.149fF
C34 net@1#6pin@17_polysilicon-1 0 0.184fF
C35 S1#4pin@25_polysilicon-1 0 0.149fF
C36 S1#24pin@28_polysilicon-1 0 0.13fF
C37 S1#25pin@29_polysilicon-1 0 0.171fF
C38 S1#1pin@34_polysilicon-1 0 0.137fF
C39 S1#2pin@35_polysilicon-1 0 0.177fF
C40 net@5#3pin@36_polysilicon-1 0 0.113fF
C41 net@5#4pin@37_polysilicon-1 0 0.156fF
C42 net@5#5pin@38_polysilicon-1 0 0.149fF
C43 net@5#1pin@40_polysilicon-1 0 0.184fF
C44 S2#3pin@48_polysilicon-1 0 0.149fF
C45 S2#5pin@51_polysilicon-1 0 0.13fF
C46 S2#6pin@52_polysilicon-1 0 0.171fF
C47 S2#11pin@56_polysilicon-1 0 0.137fF
C48 S2#1pin@57_polysilicon-1 0 0.177fF
C49 net@19#10pin@58_polysilicon-1 0 0.113fF
C50 net@19#11pin@59_polysilicon-1 0 0.156fF
C51 net@19#6pin@60_polysilicon-1 0 0.149fF
C52 net@19#2pin@62_polysilicon-1 0 0.184fF
C53 S1#36pin@77_polysilicon-1 0 0.149fF
C54 S1#49pin@80_polysilicon-1 0 0.13fF
C55 S1#52pin@81_polysilicon-1 0 0.171fF
C56 S1#34pin@86_polysilicon-1 0 0.137fF
C57 S1#35pin@87_polysilicon-1 0 0.177fF
C58 net@197#9pin@88_polysilicon-1 0 0.113fF
C59 net@197#10pin@89_polysilicon-1 0 0.156fF
C60 net@197#3pin@90_polysilicon-1 0 0.149fF
C61 net@197#4pin@92_polysilicon-1 0 0.184fF
C62 S1#41pin@100_polysilicon-1 0 0.149fF
C63 S1#43pin@103_polysilicon-1 0 0.13fF
C64 S1#44pin@104_polysilicon-1 0 0.171fF
C65 S1#51pin@109_polysilicon-1 0 0.137fF
C66 S1#38pin@110_polysilicon-1 0 0.177fF
C67 net@198#1pin@111_polysilicon-1 0 0.113fF
C68 net@198#2pin@112_polysilicon-1 0 0.156fF
C69 net@198#3pin@113_polysilicon-1 0 0.149fF
C70 net@198#6pin@115_polysilicon-1 0 0.184fF
C71 S2#16pin@123_polysilicon-1 0 0.149fF
C72 S2#18pin@126_polysilicon-1 0 0.13fF
C73 S2#19pin@127_polysilicon-1 0 0.171fF
C74 S2#24pin@131_polysilicon-1 0 0.137fF
C75 S2#14pin@132_polysilicon-1 0 0.177fF
C76 net@297#10pin@133_polysilicon-1 0 0.113fF
C77 net@297#11pin@134_polysilicon-1 0 0.156fF
C78 net@297#6pin@135_polysilicon-1 0 0.149fF
C79 net@297#2pin@137_polysilicon-1 0 0.184fF
C80 S0#3pin@172_polysilicon-1 0 0.149fF
C81 S0#5pin@175_polysilicon-1 0 0.13fF
C82 S0#6pin@176_polysilicon-1 0 0.171fF
C83 S0#11pin@181_polysilicon-1 0 0.137fF
C84 S0#1pin@182_polysilicon-1 0 0.177fF
C85 net@436#10pin@183_polysilicon-1 0 0.113fF
C86 net@436#11pin@184_polysilicon-1 0 0.156fF
C87 net@436#4pin@185_polysilicon-1 0 0.149fF
C88 net@436#5pin@187_polysilicon-1 0 0.184fF
